max_depth	min_split	minbucket	ganancia_promedio
7	1000	0.05	146094000
7	1000	0.05	146094000
7	1000	0.1	146094000
7	1000	0.15	146094000
7	1000	0.2	146094000
7	1000	0.25	146094000
7	1000	0.3	146094000
7	1000	0.35	146094000
7	1000	0.4	146094000
7	1000	0.45	146094000
7	1000	0.5	146094000
7	800	0.05	146094000
7	800	0.1	146094000
7	800	0.15	146094000
7	800	0.2	146094000
7	800	0.25	146094000
7	800	0.3	146094000
7	800	0.35	146094000
7	800	0.4	146094000
7	800	0.45	146094000
7	800	0.5	146094000
7	600	0.05	146094000
7	600	0.1	146094000
7	600	0.15	146094000
7	600	0.2	146094000
7	600	0.25	146094000
7	600	0.3	146094000
7	600	0.35	146094000
7	600	0.4	146094000
7	600	0.45	146094000
7	600	0.5	146094000
7	400	0.05	146094000
7	400	0.1	146094000
7	400	0.15	146094000
7	400	0.2	146094000
7	400	0.25	146094000
7	400	0.3	146094000
7	400	0.35	146094000
7	400	0.4	146094000
7	400	0.45	146094000
7	400	0.5	146094000
8	1000	0.05	146094000
8	1000	0.1	146094000
8	1000	0.15	146094000
8	1000	0.2	146094000
8	1000	0.25	146094000
8	1000	0.3	146094000
8	1000	0.35	146094000
8	1000	0.4	146094000
8	1000	0.45	146094000
8	1000	0.5	146094000
8	800	0.05	146094000
8	800	0.1	146094000
8	800	0.15	146094000
8	800	0.2	146094000
8	800	0.25	146094000
8	800	0.3	146094000
8	800	0.35	146094000
8	800	0.4	146094000
8	800	0.45	146094000
8	800	0.5	146094000
8	600	0.05	146094000
8	600	0.1	146094000
8	600	0.15	146094000
8	600	0.2	146094000
8	600	0.25	146094000
8	600	0.3	146094000
8	600	0.35	146094000
8	600	0.4	146094000
8	600	0.45	146094000
8	600	0.5	146094000
8	400	0.05	146094000
8	400	0.1	146094000
8	400	0.15	146094000
8	400	0.2	146094000
8	400	0.25	146094000
8	400	0.3	146094000
8	400	0.35	146094000
8	400	0.4	146094000
8	400	0.45	146094000
8	400	0.5	146094000
9	1000	0.05	146094000
9	1000	0.1	146094000
9	1000	0.15	146094000
9	1000	0.2	146094000
9	1000	0.25	146094000
9	1000	0.3	146094000
9	1000	0.35	146094000
9	1000	0.4	146094000
9	1000	0.45	146094000
9	1000	0.5	146094000
9	800	0.05	146094000
9	800	0.1	146094000
9	800	0.15	146094000
9	800	0.2	146094000
9	800	0.25	146094000
9	800	0.3	146094000
9	800	0.35	146094000
9	800	0.4	146094000
9	800	0.45	146094000
9	800	0.5	146094000
9	600	0.05	146094000
9	600	0.1	146094000
9	600	0.15	146094000
9	600	0.2	146094000
9	600	0.25	146094000
9	600	0.3	146094000
9	600	0.35	146094000
9	600	0.4	146094000
9	600	0.45	146094000
9	600	0.5	146094000
9	400	0.05	146094000
9	400	0.1	146094000
9	400	0.15	146094000
9	400	0.2	146094000
9	400	0.25	146094000
9	400	0.3	146094000
9	400	0.35	146094000
9	400	0.4	146094000
9	400	0.45	146094000
9	400	0.5	146094000
10	1000	0.05	146094000
10	1000	0.1	146094000
10	1000	0.15	146094000
10	1000	0.2	146094000
10	1000	0.25	146094000
10	1000	0.3	146094000
10	1000	0.35	146094000
10	1000	0.4	146094000
10	1000	0.45	146094000
10	1000	0.5	146094000
10	800	0.05	146094000
10	800	0.1	146094000
10	800	0.15	146094000
10	800	0.2	146094000
10	800	0.25	146094000
10	800	0.3	146094000
10	800	0.35	146094000
10	800	0.4	146094000
10	800	0.45	146094000
10	800	0.5	146094000
10	600	0.05	146094000
10	600	0.1	146094000
10	600	0.15	146094000
10	600	0.2	146094000
10	600	0.25	146094000
10	600	0.3	146094000
10	600	0.35	146094000
10	600	0.4	146094000
10	600	0.45	146094000
10	600	0.5	146094000
10	400	0.05	146094000
10	400	0.1	146094000
10	400	0.15	146094000
10	400	0.2	146094000
10	400	0.25	146094000
10	400	0.3	146094000
10	400	0.35	146094000
10	400	0.4	146094000
10	400	0.45	146094000
10	400	0.5	146094000
