max_depth	min_split	minbucket	cp	ganancia_promedio
4	1000	0.5	0.8	0
4	1000	0.5	0.9	0
4	800	0.1	-0.9	47688000
4	800	0.1	-0.8	47688000
4	800	0.1	-0.7	47688000
4	800	0.1	-0.6	47688000
4	800	0.1	-0.5	47688000
4	800	0.1	-0.4	47688000
4	800	0.1	-0.3	47688000
4	800	0.1	-0.2	47688000
4	800	0.1	-0.1	47688000
4	800	0.1	0	0
4	800	0.1	0.1	0
4	800	0.1	0.2	0
4	800	0.1	0.3	0
4	800	0.1	0.4	0
4	800	0.1	0.5	0
4	800	0.1	0.6	0
4	800	0.1	0.7	0
4	800	0.1	0.8	0
4	800	0.1	0.9	0
4	800	0.15	-0.9	48376000
4	800	0.15	-0.8	48376000
4	800	0.15	-0.7	48376000
4	800	0.15	-0.6	48376000
4	800	0.15	-0.5	48376000
4	800	0.15	-0.4	48376000
4	800	0.15	-0.3	48376000
4	800	0.15	-0.2	48376000
4	800	0.15	-0.1	48376000
4	800	0.15	0	0
4	800	0.15	0.1	0
4	800	0.15	0.2	0
4	800	0.15	0.3	0
4	800	0.15	0.4	0
4	800	0.15	0.5	0
4	800	0.15	0.6	0
4	800	0.15	0.7	0
4	800	0.15	0.8	0
4	800	0.15	0.9	0
4	800	0.2	-0.9	48522000
4	800	0.2	-0.8	48522000
4	800	0.2	-0.7	48522000
4	800	0.2	-0.6	48522000
4	800	0.2	-0.5	48522000
4	800	0.2	-0.4	48522000
4	800	0.2	-0.3	48522000
4	800	0.2	-0.2	48522000
4	800	0.2	-0.1	48522000
4	800	0.2	0	0
4	800	0.2	0.1	0
4	800	0.2	0.2	0
4	800	0.2	0.3	0
4	800	0.2	0.4	0
4	800	0.2	0.5	0
4	800	0.2	0.6	0
4	800	0.2	0.7	0
4	800	0.2	0.8	0
4	800	0.2	0.9	0
4	800	0.25	-0.9	48302000
4	800	0.25	-0.8	48302000
4	800	0.25	-0.7	48302000
4	800	0.25	-0.6	48302000
4	800	0.25	-0.5	48302000
4	800	0.25	-0.4	48302000
4	800	0.25	-0.3	48302000
4	800	0.25	-0.2	48302000
4	800	0.25	-0.1	48302000
4	800	0.25	0	0
4	800	0.25	0.1	0
4	800	0.25	0.2	0
4	800	0.25	0.3	0
4	800	0.25	0.4	0
4	800	0.25	0.5	0
4	800	0.25	0.6	0
4	800	0.25	0.7	0
4	800	0.25	0.8	0
4	800	0.25	0.9	0
4	800	0.3	-0.9	48302000
4	800	0.3	-0.8	48302000
4	800	0.3	-0.7	48302000
4	800	0.3	-0.6	48302000
4	800	0.3	-0.5	48302000
4	800	0.3	-0.4	48302000
4	800	0.3	-0.3	48302000
4	800	0.3	-0.2	48302000
4	800	0.3	-0.1	48302000
4	800	0.3	0	0
4	800	0.3	0.1	0
4	800	0.3	0.2	0
4	800	0.3	0.3	0
4	800	0.3	0.4	0
4	800	0.3	0.5	0
4	800	0.3	0.6	0
4	800	0.3	0.7	0
4	800	0.3	0.8	0
4	800	0.3	0.9	0
4	800	0.35	-0.9	47976000
4	800	0.35	-0.8	47976000
4	800	0.35	-0.7	47976000
4	800	0.35	-0.6	47976000
4	800	0.35	-0.5	47976000
